Destination,Vacation
"Dallas/Fort Worth, TX",1
"Chicago, IL",1
"Nashville, TN",1
"Raleigh/Durham, NC",0
"New York, NY",1
"St. Louis, MO",0
"Miami, FL",1
"Los Angeles, CA",1
"Madison, WI",0
"Milwaukee, WI",0
"Tyler, TX",0
"Houston, TX",1
"Killeen, TX",0
"Wichita Falls, TX",0
"Corpus Christi, TX",0
"Laredo, TX",0
"Beaumont/Port Arthur, TX",0
"San Angelo, TX",0
"Midland/Odessa, TX",0
"Amarillo, TX",0
"Waco, TX",0
"Longview, TX",0
"Abilene, TX",0
"College Station/Bryan, TX",0
"Lubbock, TX",0
"Brownsville, TX",0
"Knoxville, TN",0
"Chattanooga, TN",0
"Rapid City, SD",0
"Sioux Falls, SD",0
"Charleston, SC",1
"Greer, SC",0
"Columbia, SC",0
"Lawton/Fort Sill, OK",0
"Tulsa, OK",0
"Fargo, ND",0
"Greensboro/High Point, NC",0
"Roswell, NM",0
"Santa Fe, NM",0
"Grand Island, NE",0
"Springfield, MO",0
"Joplin, MO",0
"Columbia, MO",0
"Jackson/Vicksburg, MS",0
"Gulfport/Biloxi, MS",0
"Grand Rapids, MI",0
"Lafayette, LA",0
"Monroe, LA",0
"Alexandria, LA",0
"Lake Charles, LA",0
"Shreveport, LA",0
"Baton Rouge, LA",0
"Louisville, KY",0
"Lexington, KY",1
"Cincinnati, OH",0
"Garden City, KS",0
"Manhattan/Ft. Riley, KS",0
"Cedar Rapids/Iowa City, IA",0
"Des Moines, IA",0
"Fort Wayne, IN",0
"Evansville, IN",0
"Bloomington/Normal, IL",0
"Springfield, IL",0
"Peoria, IL",0
"Champaign/Urbana, IL",0
"Moline, IL",0
"Savannah, GA",0
"Pensacola, FL",0
"Tallahassee, FL",0
"Valparaiso, FL",0
"Aspen, CO",1
"Durango, CO",0
"Montrose/Delta, CO",0
"Grand Junction, CO",0
"Fayetteville, AR",0
"Fort Smith, AR",0
"Little Rock, AR",0
"Texarkana, AR",0
"Birmingham, AL",0
"Montgomery, AL",0
"Mobile, AL",0
"Washington, DC",1
"Norfolk, VA",0
"Pittsburgh, PA",0
"Columbus, OH",0
"Cleveland, OH",0
"Charlotte, NC",0
"Minneapolis, MN",0
"Detroit, MI",0
"Baltimore, MD",0
"Indianapolis, IN",0
"Atlanta, GA",0
"Tampa, FL",1
"Green Bay, WI",0
"Mosinee, WI",0
"La Crosse, WI",0
"Richmond, VA",0
"Salt Lake City, UT",1
"San Antonio, TX",1
"El Paso, TX",0
"Memphis, TN",1
"Harrisburg, PA",0
"Philadelphia, PA",0
"Oklahoma City, OK",0
"Toledo, OH",0
"Dayton, OH",0
"Buffalo, NY",0
"Rochester, NY",0
"Syracuse, NY",0
"Watertown, NY",0
"Newark, NJ",0
"Omaha, NE",0
"Kansas City, MO",0
